date,airport parking
2023-01-01,66
2023-01-08,73
2023-01-15,70
2023-01-22,70
2023-01-29,72
2023-02-05,74
2023-02-12,80
2023-02-19,82
2023-02-26,80
2023-03-05,88
2023-03-12,84
2023-03-19,86
2023-03-26,82
2023-04-02,86
2023-04-09,82
2023-04-16,83
2023-04-23,78
2023-04-30,81
2023-05-07,81
2023-05-14,89
2023-05-21,96
2023-05-28,88
2023-06-04,90
2023-06-11,100
2023-06-18,97
2023-06-25,98
2023-07-02,95
2023-07-09,96
2023-07-16,90
2023-07-23,89
2023-07-30,84
2023-08-06,80
2023-08-13,77
2023-08-20,73
2023-08-27,80
2023-09-03,72
2023-09-10,74
2023-09-17,76
2023-09-24,76
2023-10-01,80
2023-10-08,76
2023-10-15,82
2023-10-22,76
2023-10-29,71
2023-11-05,76
2023-11-12,79
2023-11-19,86
2023-11-26,68
2023-12-03,68
2023-12-10,75
2023-12-17,89
2023-12-24,75
2023-12-31,67
2024-01-07,66
2024-01-14,63
2024-01-21,65
2024-01-28,62
2024-02-04,68
2024-02-11,75
2024-02-18,75
2024-02-25,73
2024-03-03,80
2024-03-10,81
2024-03-17,82
2024-03-24,82
2024-03-31,80
2024-04-07,77
2024-04-14,81
2024-04-21,79
2024-04-28,79
2024-05-05,79
2024-05-12,85
2024-05-19,90
2024-05-26,84
2024-06-02,93
2024-06-09,92
2024-06-16,94
2024-06-23,92
2024-06-30,92
2024-07-07,89
2024-07-14,86
2024-07-21,85
2024-07-28,81
2024-08-04,83
2024-08-11,79
2024-08-18,78
2024-08-25,75
2024-09-01,71
2024-09-08,71
2024-09-15,75
2024-09-22,69
2024-09-29,76
2024-10-06,79
2024-10-13,74
2024-10-20,68
2024-10-27,68
2024-11-03,67
2024-11-10,70
2024-11-17,79
2024-11-24,79
2024-12-01,70
2024-12-08,71
2024-12-15,83
2024-12-22,85
2024-12-29,62
2025-01-05,62
2025-01-12,68
2025-01-19,61
2025-01-26,58
2025-02-02,67
2025-02-09,70
2025-02-16,75
2025-02-23,71
2025-03-02,76
2025-03-09,81
2025-03-16,79
2025-03-23,73
2025-03-30,74
2025-04-06,78
2025-04-13,74
2025-04-20,76
2025-04-27,75
2025-05-04,81
2025-05-11,88
2025-05-18,89
2025-05-25,82
2025-06-01,80
2025-06-08,92
2025-06-15,95
2025-06-22,92
2025-06-29,97
2025-07-06,96
2025-07-13,96
2025-07-20,99
2025-07-27,97
