date,car rental
2023-01-01,71
2023-01-08,72
2023-01-15,71
2023-01-22,70
2023-01-29,70
2023-02-05,70
2023-02-12,73
2023-02-19,78
2023-02-26,78
2023-03-05,78
2023-03-12,77
2023-03-19,78
2023-03-26,73
2023-04-02,77
2023-04-09,78
2023-04-16,80
2023-04-23,73
2023-04-30,77
2023-05-07,76
2023-05-14,80
2023-05-21,81
2023-05-28,79
2023-06-04,82
2023-06-11,87
2023-06-18,85
2023-06-25,100
2023-07-02,83
2023-07-09,94
2023-07-16,88
2023-07-23,87
2023-07-30,82
2023-08-06,76
2023-08-13,74
2023-08-20,69
2023-08-27,66
2023-09-03,67
2023-09-10,69
2023-09-17,65
2023-09-24,67
2023-10-01,64
2023-10-08,65
2023-10-15,65
2023-10-22,56
2023-10-29,58
2023-11-05,60
2023-11-12,61
2023-11-19,53
2023-11-26,52
2023-12-03,56
2023-12-10,52
2023-12-17,57
2023-12-24,59
2023-12-31,61
2024-01-07,68
2024-01-14,66
2024-01-21,65
2024-01-28,62
2024-02-04,65
2024-02-11,64
2024-02-18,73
2024-02-25,68
2024-03-03,72
2024-03-10,76
2024-03-17,69
2024-03-24,68
2024-03-31,71
2024-04-07,66
2024-04-14,69
2024-04-21,68
2024-04-28,71
2024-05-05,74
2024-05-12,75
2024-05-19,75
2024-05-26,74
2024-06-02,79
2024-06-09,82
2024-06-16,79
2024-06-23,84
2024-06-30,79
2024-07-07,83
2024-07-14,88
2024-07-21,84
2024-07-28,75
2024-08-04,80
2024-08-11,72
2024-08-18,72
2024-08-25,66
2024-09-01,63
2024-09-08,62
2024-09-15,64
2024-09-22,63
2024-09-29,63
2024-10-06,62
2024-10-13,63
2024-10-20,62
2024-10-27,56
2024-11-03,54
2024-11-10,54
2024-11-17,59
2024-11-24,51
2024-12-01,56
2024-12-08,55
2024-12-15,58
2024-12-22,60
2024-12-29,61
2025-01-05,65
2025-01-12,65
2025-01-19,58
2025-01-26,56
2025-02-02,55
2025-02-09,55
2025-02-16,70
2025-02-23,61
2025-03-02,66
2025-03-09,65
2025-03-16,68
2025-03-23,64
2025-03-30,66
2025-04-06,63
2025-04-13,62
2025-04-20,65
2025-04-27,62
2025-05-04,68
2025-05-11,70
2025-05-18,75
2025-05-25,71
2025-06-01,75
2025-06-08,80
2025-06-15,83
2025-06-22,84
2025-06-29,78
2025-07-06,79
2025-07-13,95
2025-07-20,88
2025-07-27,88
